dataset,baseline,sraf_id_mae,baseline_mae,gain_pct
METR-LA,KNN+ID-MLP,4.903770200411478,6.498913335800171,24.54476699360836
METR-LA,PPCA-lite+ID-MLP,4.903770200411478,7.581082479159037,35.31569912486364
METR-LA,PyPOTS-SAITS+ID-MLP,4.903770200411478,7.819110703468323,37.284809150530215
PEMS-BAY,KNN+ID-MLP,1.9625125209490455,2.5966103255748747,24.42021424548728
PEMS-BAY,PPCA-lite+ID-MLP,1.9625125209490455,2.7797241111596427,29.39901794317543
PEMS-BAY,PyPOTS-SAITS+ID-MLP,1.9625125209490455,3.072338990370433,36.12317758228806
