dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
pems_bay,sraf_id_lambda000,47,clean,clean,1.8178651332855225,4.132084846496582,1.4696065187454224,1.851585030555725,2.3225114345550537,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,RM20,1.8664337396621704,4.214944839477539,1.5346264839172363,1.8942569494247437,2.351351261138916,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,RM40,1.9415862560272217,4.3489580154418945,1.6341782808303833,1.9627670049667358,2.3975679874420166,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,CO24,1.9621273279190063,4.339699745178223,1.666143536567688,1.9890636205673218,2.4010682106018066,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,GN-high,2.0959742069244385,4.393779277801514,1.8252079486846924,2.110351324081421,2.492462158203125,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,LD-high,2.027369976043701,4.406484127044678,1.7503902912139893,2.045178174972534,2.4226415157318115,16,0.2091764097170132
pems_bay,sraf_id_lambda000,47,faulty,SV-high,1.8799494504928589,4.281689643859863,1.5514708757400513,1.9095765352249146,2.3608851432800293,16,0.2091764097170132
