dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
pems_bay,sraf_id_lambda000,42,clean,clean,1.8145508766174316,4.128469467163086,1.4693995714187622,1.8491474390029907,2.3174309730529785,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,RM20,1.8639132976531982,4.210775852203369,1.536417841911316,1.8921810388565063,2.346174478530884,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,RM40,1.9401280879974365,4.350053787231445,1.6352462768554688,1.9617397785186768,2.3946001529693604,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,CO24,1.9612871408462524,4.340768814086914,1.668128490447998,1.9893592596054077,2.3979380130767822,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,GN-high,2.092867612838745,4.383608818054199,1.8264738321304321,2.1065855026245117,2.485551118850708,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,LD-high,2.022946834564209,4.409915447235107,1.7489768266677856,2.041372537612915,2.4151434898376465,21,0.20954108736439936
pems_bay,sraf_id_lambda000,42,faulty,SV-high,1.8787932395935059,4.283572673797607,1.5533690452575684,1.9089568853378296,2.3588240146636963,21,0.20954108736439936
