dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
pems_bay,sraf_id_lambda000,45,clean,clean,1.8012083768844604,4.089022636413574,1.4594882726669312,1.831145167350769,2.305476188659668,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,RM20,1.8496124744415283,4.172179222106934,1.5250394344329834,1.8740135431289673,2.333481788635254,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,RM40,1.924795389175415,4.312794208526611,1.6234023571014404,1.9426355361938477,2.3804330825805664,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,CO24,1.9428720474243164,4.297353267669678,1.6501528024673462,1.9665740728378296,2.383902072906494,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,GN-high,2.077059030532837,4.35142707824707,1.8085100650787354,2.0870189666748047,2.476999044418335,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,LD-high,2.0180351734161377,4.380698204040527,1.7455018758773804,2.0370895862579346,2.4111626148223877,39,0.20774924817184606
pems_bay,sraf_id_lambda000,45,faulty,SV-high,1.863146424293518,4.239625930786133,1.5388526916503906,1.8885259628295898,2.3461906909942627,39,0.20774924817184606
