dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
metr_la,sraf_id_lambda000,45,clean,clean,4.649123668670654,12.077959060668945,3.658360004425049,4.688628673553467,6.016206741333008,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,RM20,4.726615905761719,12.200389862060547,3.7636382579803467,4.762763023376465,6.0572686195373535,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,RM40,4.858953475952148,12.408331871032715,3.9351091384887695,4.888566493988037,6.140804767608643,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,CO24,4.842971324920654,12.363322257995605,3.9085443019866943,4.872244834899902,6.140078067779541,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,GN-high,4.836790561676025,12.201615333557129,3.9027111530303955,4.861269950866699,6.1271071434021,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,LD-high,4.889086723327637,12.300593376159668,3.988687515258789,4.91990852355957,6.122086524963379,30,0.2219143917950813
metr_la,sraf_id_lambda000,45,faulty,SV-high,4.833329200744629,12.465188026428223,3.8853726387023926,4.863208293914795,6.152609348297119,30,0.2219143917950813
