run_id,dataset,variant,seed,status,provenance,source_path,runtime_sec,attempts
reused__metr_la__sraf_id_forecast_only__seed46,metr_la,sraf_id_forecast_only,46,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_46,,
reused__metr_la__id_mlp_ca__seed46,metr_la,id_mlp_ca,46,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed46,,
final_ablation__metr_la__temporal_only_forecast_only__seed46,metr_la,temporal_only_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_46,795.051577,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed46,metr_la,spatial_only_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_46,427.5783922999999,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed46,metr_la,fixed_fusion_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_46,573.6204876000002,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed46,metr_la,gated_fusion_forecast_only,46,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_46,992.9574700000012,1.0
reused__metr_la__sraf_id_forecast_only__seed47,metr_la,sraf_id_forecast_only,47,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_47,,
reused__metr_la__id_mlp_ca__seed47,metr_la,id_mlp_ca,47,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed47,,
final_ablation__metr_la__temporal_only_forecast_only__seed47,metr_la,temporal_only_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_47,997.0911914999999,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed47,metr_la,spatial_only_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_47,607.8739557999997,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed47,metr_la,fixed_fusion_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_47,801.5108774,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed47,metr_la,gated_fusion_forecast_only,47,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_47,1258.3435054000001,1.0
reused__metr_la__sraf_id_forecast_only__seed48,metr_la,sraf_id_forecast_only,48,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_48,,
reused__metr_la__id_mlp_ca__seed48,metr_la,id_mlp_ca,48,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed48,,
final_ablation__metr_la__temporal_only_forecast_only__seed48,metr_la,temporal_only_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_48,773.5984819999999,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed48,metr_la,spatial_only_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_48,519.9389259,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed48,metr_la,fixed_fusion_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_48,624.1250277999998,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed48,metr_la,gated_fusion_forecast_only,48,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_48,1236.8984261999994,1.0
reused__metr_la__sraf_id_forecast_only__seed49,metr_la,sraf_id_forecast_only,49,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_49,,
reused__metr_la__id_mlp_ca__seed49,metr_la,id_mlp_ca,49,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed49,,
final_ablation__metr_la__temporal_only_forecast_only__seed49,metr_la,temporal_only_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_49,763.3576555000004,1.0
