dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
pems_bay,sraf_id_lambda000,49,clean,clean,1.8047583103179932,4.110237121582031,1.462968349456787,1.8357524871826172,2.310422658920288,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,RM20,1.8515920639038086,4.186755180358887,1.527461051940918,1.8763705492019653,2.336540937423706,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,RM40,1.9254390001296997,4.317582607269287,1.62458336353302,1.9434466361999512,2.3818650245666504,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,CO24,1.9443795680999756,4.303853988647461,1.6523727178573608,1.9684444665908813,2.3867170810699463,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,GN-high,2.0821807384490967,4.368751049041748,1.8134889602661133,2.0926408767700195,2.4853804111480713,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,LD-high,2.000990867614746,4.361748218536377,1.731425404548645,2.018857479095459,2.394941568374634,32,0.20781910554240873
pems_bay,sraf_id_lambda000,49,faulty,SV-high,1.866032361984253,4.263961315155029,1.540880799293518,1.8927220106124878,2.351569890975952,32,0.20781910554240873
