dataset,model,faulty_mae_mean,faulty_mae_std,seeds
METR-LA,ID-MLP-CA,5.141454919179281,0.0848556629265885,10
METR-LA,SRAF-ID,4.857578293482463,0.0187648456373264,10
PEMS-BAY,ID-MLP-CA,1.9909850517908732,0.0095698774093671,10
PEMS-BAY,SRAF-ID,1.9541658023993176,0.008194108220796,10
