dataset,variant,seed,input_setting,fault,mae,rmse,horizon_3_mae,horizon_6_mae,horizon_12_mae,checkpoint_epoch,validation_mae
metr_la,sraf_id_lambda000,51,clean,clean,4.601787567138672,12.038830757141113,3.6158711910247803,4.641412258148193,5.973002910614014,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,RM20,4.676122188568115,12.168389320373535,3.717778444290161,4.712300777435303,6.013421058654785,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,RM40,4.806168556213379,12.370777130126953,3.8840508460998535,4.837952613830566,6.099128723144531,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,CO24,4.797847270965576,12.338311195373535,3.868753671646118,4.827584743499756,6.09871768951416,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,GN-high,4.781711578369141,12.17380428314209,3.8528921604156494,4.806089401245117,6.077918529510498,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,LD-high,4.914884567260742,12.323115348815918,4.009059429168701,4.95866584777832,6.154499053955078,60,0.2218318139533455
metr_la,sraf_id_lambda000,51,faulty,SV-high,4.736673831939697,12.302104949951172,3.8111133575439453,4.769700527191162,6.045612812042236,60,0.2218318139533455
