Dataset,ID-MLP-CA parameters,SRAF-ID parameters,Parameter increase (%),ID-MLP-CA latency (s),SRAF-ID latency (s),Latency ratio,Seeds
METR-LA,117868,118078,0.17816540536872427,0.5559502642857085,1.0597734014285716,1.9062377869181897,10
PEMS-BAY,121644,121854,0.17263490184473707,1.0631151757142625,2.3222548114285666,2.1843868514701064,10
