dataset,fault,model,h3_mae_mean,h6_mae_mean,h12_mae_mean
PEMS-BAY,linear_drift_high,PyPOTS-SAITS+ID-MLP,5.824860334396362,5.503604507446289,4.9230287075042725
PEMS-BAY,random_missing_20,PyPOTS-SAITS+ID-MLP,1.582719349861145,1.9165796995162965,2.3159303665161133
PEMS-BAY,random_missing_40,PyPOTS-SAITS+ID-MLP,1.7614940643310546,2.0444069385528563,2.398063611984253
PEMS-BAY,stuck_at_last_value_high,PyPOTS-SAITS+ID-MLP,1.4999370217323302,1.8707218170166016,2.29875853061676
PEMS-BAY,clean,SRAF-ID,1.4738485932350158,1.843471956253052,2.3082506895065307
PEMS-BAY,continuous_outage_24,SRAF-ID,1.8169028401374816,2.1124398708343506,2.47641236782074
PEMS-BAY,gaussian_noise_high,SRAF-ID,1.8134507060050964,2.09630184173584,2.480163645744324
PEMS-BAY,linear_drift_high,SRAF-ID,1.713008725643158,2.01009213924408,2.389736270904541
PEMS-BAY,random_missing_20,SRAF-ID,1.5179080247879029,1.8719518423080443,2.325917887687683
PEMS-BAY,random_missing_40,SRAF-ID,1.5986618757247926,1.9288648962974548,2.3655770063400268
PEMS-BAY,stuck_at_last_value_high,SRAF-ID,1.5504180192947388,1.897468662261963,2.3452449798583985
