Dataset,Fault,ID-MLP-CA MAE mean,ID-MLP-CA MAE std,SRAF-ID MAE mean,SRAF-ID MAE std,Relative gain (%),Seeds
METR-LA,CO24,5.396787166595459,0.043706492822847116,4.97526912689209,0.01984456430337179,7.810536652481743,10
METR-LA,GN-high,4.9530556201934814,0.05405204217875651,4.837192440032959,0.022350180070156305,2.339226308869839,10
METR-LA,LD-high,5.016835355758667,0.08547714778434692,4.926196575164795,0.026278161823931136,1.8066923501850827,10
METR-LA,RM20,5.109198045730591,0.12724076707978788,4.7275858402252195,0.01643052271071958,7.469121417680389,10
METR-LA,RM40,5.494047737121582,0.19017466955754903,4.86636381149292,0.01933855495592398,11.424799267534494,10
METR-LA,SV-high,4.8788055896759035,0.04921850944851552,4.812861967086792,0.023642468164263044,1.351634562538334,10
PEMS-BAY,CO24,1.9805806279182434,0.01684294047400119,1.955499255657196,0.00751658526648027,1.266364615885902,10
PEMS-BAY,GN-high,2.11757173538208,0.00598207027351502,2.0872031927108763,0.008000415952156809,1.434121081415181,10
PEMS-BAY,LD-high,1.9930258512496948,0.0068873425590512665,2.0233768224716187,0.012979882738706382,-1.5228588832850705,10
PEMS-BAY,RM20,1.9247591018676757,0.00983972795512615,1.8577115416526795,0.007822141249430826,3.483426063549311,10
PEMS-BAY,RM40,2.0418596982955934,0.01187378668701933,1.9262687802314757,0.008031902836078339,5.661060755575184,10
PEMS-BAY,SV-high,1.888113296031952,0.010554616446738531,1.874935221672058,0.009165871406003665,0.6979493438020323,10
