dataset,model,faulty_mae_mean,faulty_mae_std,seeds
METR-LA,ID-MLP-CA,5.141454919179281,0.08485566292658854,10
METR-LA,SRAF-ID,4.8575782934824625,0.018764845637326482,10
PEMS-BAY,ID-MLP-CA,1.9909850517908734,0.009569877409367199,10
PEMS-BAY,SRAF-ID,1.9541658023993176,0.008194108220796062,10
