dataset,model,avg_faulty_mae_mean,avg_faulty_mae_std,avg_faulty_rmse_mean,severe_fault_mae_mean,clean_mae_mean,seeds
METR-LA,ID-MLP-CA,5.1055822769800825,0.2136865439118241,12.677974128723145,5.197662770748138,4.720575761795044,10
METR-LA,KNN+ID-MLP,6.498913335800171,1.4576293230722257,13.58149938583374,7.081549680233001,4.63552360534668,10
METR-LA,PPCA-lite+ID-MLP,7.581082479159037,3.7745026935047874,15.37612042427063,8.941316390037537,4.642674446105957,10
METR-LA,PyPOTS-SAITS+ID-MLP,7.819110703468323,4.116557721381485,16.287171792984008,9.294227540493011,4.647175455093384,10
METR-LA,SRAF-ID,4.903770200411478,0.2118412826572987,12.522906096776326,4.976426255702973,4.635579013824463,10
PEMS-BAY,ID-MLP-CA,1.9939896523952485,0.0863561260993154,4.406602962811788,2.0454427033662794,1.8198332905769348,10
PEMS-BAY,KNN+ID-MLP,2.5966103255748747,0.7860256537601564,5.091107511520386,2.8982302099466324,1.7298053979873658,10
PEMS-BAY,PPCA-lite+ID-MLP,2.7797241111596427,1.2909671529443334,5.673828307787577,3.2485926002264023,1.7324216842651368,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,3.072338990370433,1.699109731411144,6.084540470441183,3.6833625882864,1.7304443717002869,10
PEMS-BAY,SRAF-ID,1.9625125209490455,0.0959238523680505,4.345179033279419,2.014932429790497,1.8126391887664797,10
