Dataset,Fault,ID-MLP-CA RMSE mean,ID-MLP-CA RMSE std,SRAF-ID RMSE mean,SRAF-ID RMSE std,Relative gain (%),Seeds
METR-LA,CO24,13.607391357421875,0.04308893417468305,12.501601409912109,0.031390952266043805,8.126391888527817,10
METR-LA,GN-high,12.33567247390747,0.06681258830614767,12.161251258850097,0.031225434531315592,1.4139578967122448,10
METR-LA,LD-high,12.234025287628175,0.06860606860517683,12.277813339233399,0.03285513210467422,-0.35792023128728956,10
METR-LA,RM20,12.623539257049561,0.12151982002424011,12.19858522415161,0.032072207288779825,3.3663620340122673,10
METR-LA,RM40,13.059115505218506,0.1321927035566488,12.458618354797363,0.0331232760626894,4.598298791225029,10
METR-LA,SV-high,12.430276870727539,0.07654167442136287,12.396687316894532,0.04436166553022225,0.27022369801036555,10
PEMS-BAY,CO24,4.490858554840088,0.027091245796057612,4.319962120056152,0.01447454380300694,3.80542902202408,10
PEMS-BAY,GN-high,4.42873477935791,0.013362710494526205,4.365644407272339,0.01585701118319816,1.4245687589970812,10
PEMS-BAY,LD-high,4.368837356567383,0.008619332397919023,4.385560846328735,0.02446500076246339,-0.38279039470793924,10
PEMS-BAY,RM20,4.308231592178345,0.011059465667634012,4.191009855270385,0.0177588498500508,2.720878262922937,10
PEMS-BAY,RM40,4.517911577224732,0.015050561120037626,4.325571203231812,0.02093967769834078,4.257285046536281,10
PEMS-BAY,SV-high,4.308083868026733,0.02178528092460473,4.2667787075042725,0.021828828839142302,0.9587826464803696,10
