dataset,model,seed,parameter_count,latency_mean_sec,training_time_sec,best_epoch
METR-LA,SRAF-ID-v2-current-best-noGate,45,118830,1.7214254857143325,803.9570328000009,49
METR-LA,SRAF-ID-v2-current-best-noGate,46,118830,1.7325201714284049,695.841279100001,41
METR-LA,SRAF-ID-v2-current-best-noGate,47,118830,1.72458137142842,519.8504985999989,28
METR-LA,SRAF-ID-v2-current-best-noGate,48,118830,1.7319033571433724,612.9001805999978,35
METR-LA,SRAF-ID-v2-current-best-noGate,49,118830,1.707532685714146,505.33081049999964,27
METR-LA,SRAF-ID-v2-current-best-noGate,50,118830,1.719777542857108,559.4730596000009,31
METR-LA,SRAF-ID-v2-current-best-noGate,51,118830,1.7031080285721276,545.6546734999974,30
PEMS-BAY,ID-MLP-CA,42,121644,1.4480688857126682,727.2834818999982,36
PEMS-BAY,ID-MLP-CA,43,121644,1.471978328570133,896.8201103000029,51
PEMS-BAY,ID-MLP-CA,44,121644,1.4101710142858792,783.381761699995,40
PEMS-BAY,ID-MLP-CA,45,121644,1.4065193285745667,741.124470499999,39
PEMS-BAY,ID-MLP-CA,46,121644,1.5997105714278794,643.9916154999955,32
PEMS-BAY,ID-MLP-CA,47,121644,1.3928532428555107,732.154143599997,37
PEMS-BAY,ID-MLP-CA,48,121644,1.4287653857131122,839.5331313999995,45
PEMS-BAY,ID-MLP-CA,49,121644,1.5152927571429504,700.6592795000033,35
PEMS-BAY,ID-MLP-CA,50,121644,0.9232672142887688,811.0437096999958,43
PEMS-BAY,ID-MLP-CA,51,121644,0.9600806000006352,839.8876391999947,42
PEMS-BAY,KNN+ID-MLP,42,121644,1.2419492571425508,362.6526649000007,
PEMS-BAY,KNN+ID-MLP,43,121644,1.2539904999981186,253.17437600000267,
PEMS-BAY,KNN+ID-MLP,44,121644,1.1737729428568855,245.72306879999815,
PEMS-BAY,KNN+ID-MLP,45,121644,1.2090253285704031,412.85752580000553,
PEMS-BAY,KNN+ID-MLP,46,121644,1.3210736714276468,385.5139216000025,
PEMS-BAY,KNN+ID-MLP,47,121644,1.163504771427792,231.9431337999995,
PEMS-BAY,KNN+ID-MLP,48,121644,1.311542057141196,214.44258639999316,
PEMS-BAY,KNN+ID-MLP,49,121644,1.4030064999990697,319.9238350999949,
PEMS-BAY,KNN+ID-MLP,50,121644,0.9009011000016471,295.14609320000454,
PEMS-BAY,KNN+ID-MLP,51,121644,0.9427932142820542,197.83011130000523,
PEMS-BAY,PPCA-lite+ID-MLP,42,121644,1.2976845999988396,187.81553310000163,
PEMS-BAY,PPCA-lite+ID-MLP,43,121644,1.2515027714273725,272.3885095000005,
