dataset,fault,reference_mae_mean,reference_mae_sample_sd,candidate_mae_mean,candidate_mae_sample_sd,absolute_difference,relative_reduction_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz,mae_direction,reference_rmse_mean,reference_rmse_sample_sd,candidate_rmse_mean,candidate_rmse_sample_sd,rmse_direction
metr_la,RM20,5.109198045730591,0.13412354506636712,4.7090582847595215,0.023671578757057887,-0.4001397609710695,7.831752799354471,-0.40013976097106935,0.15174699486493298,-0.5086930217079941,-0.29158650023414456,1.5871039261135414e-05,0.001953125,10,0,-2.636887546453397,candidate_better,12.623539257049561,0.12809313737677885,12.185365390777587,0.017673129468404325,candidate_better
metr_la,RM40,5.494047737121582,0.2004617030239136,4.841397380828857,0.02505833603809901,-0.6526503562927246,11.879226164763148,-0.6526503562927247,0.2173062088209046,-0.8081018534830622,-0.49719885910238726,5.486676961310982e-06,0.001953125,10,0,-3.0033672753023546,candidate_better,13.059115505218506,0.13934334443148386,12.386383438110352,0.018450713156406475,candidate_better
metr_la,CO24,5.396787166595459,0.04607068861933302,4.827802038192749,0.019337467399855958,-0.5689851284027103,10.543034417302254,-0.5689851284027101,0.057837989959072966,-0.6103599339473949,-0.5276103228580253,1.7965291876199778e-10,0.001953125,10,0,-9.837567467426384,candidate_better,13.607391357421875,0.04541972464702201,12.360537910461426,0.016022820752117462,candidate_better
metr_la,GN-high,4.9530556201934814,0.05697585515612023,4.821774482727051,0.023131177363360865,-0.13128113746643066,2.65050804055583,-0.13128113746643075,0.06881219638726808,-0.1805064173670726,-0.0820558575657889,0.0001944696765793993,0.001953125,10,0,-1.9078178630949922,candidate_better,12.33567247390747,0.07042665180618596,12.191421794891358,0.015466604524150825,candidate_better
metr_la,LD-high,5.016835355758667,0.09010082496445046,4.920248889923096,0.0178252079883553,-0.09658646583557129,1.9252468735036863,-0.09658646583557129,0.09289557579895508,-0.16303995751747513,-0.030132974153667433,0.009409532837822431,0.00390625,9,1,-1.0397316019075444,candidate_better,12.234025287628175,0.0723171460340433,12.322460174560547,0.015344361049572408,candidate_worse
metr_la,SV-high,4.8788055896759035,0.05188086429860897,4.790594673156738,0.02592665260799143,-0.08821091651916557,1.8080432781709874,-0.08821091651916504,0.06366035665045751,-0.13375079228562536,-0.04267104075270474,0.001766470697786873,0.001953125,10,0,-1.3856491097514312,candidate_better,12.430276870727539,0.08068200903151909,12.387038421630859,0.04894187968968853,candidate_better
pems_bay,RM20,1.9247591018676757,0.01037198396487657,1.855433714389801,0.007364425986912963,-0.06932538747787476,3.6017695622587462,-0.06932538747787478,0.014537692135473863,-0.07972502594386144,-0.058925749011888136,1.0772598565059582e-07,0.001953125,10,0,-4.768665262123126,candidate_better,4.308231592178345,0.011657700404719402,4.192393398284912,0.015155014653561432,candidate_better
pems_bay,RM40,2.0418596982955934,0.012516070127321978,1.9296425104141235,0.007895221771556899,-0.11221718788146995,5.495832449954386,-0.11221718788146964,0.016955366679803643,-0.12434632652913208,-0.10008804923380721,6.080814155834669e-09,0.001953125,10,0,-6.618387558385096,candidate_better,4.517911577224732,0.01586468440096459,4.327422571182251,0.017072585826646662,candidate_better
pems_bay,CO24,1.9805806279182434,0.0177540181308266,1.9492518305778503,0.008455786514783055,-0.031328797340393066,1.5817986351468187,-0.03132879734039309,0.02236360172612994,-0.047326754277557614,-0.015330840403228557,0.001647198670715904,0.005859375,9,1,-1.4008833516198818,candidate_better,4.490858554840088,0.028556680455667834,4.31386981010437,0.017386159278088148,candidate_better
pems_bay,GN-high,2.11757173538208,0.006305655729164631,2.0841681241989134,0.00936269621035773,-0.03340361118316659,1.5774488592302387,-0.03340361118316637,0.011413536324676817,-0.04156836321457097,-0.025238859151761772,6.7900980068964685e-06,0.001953125,10,0,-2.926666217458437,candidate_better,4.42873477935791,0.014085533625379258,4.3692327499389645,0.014946327441630304,candidate_better
pems_bay,LD-high,1.9930258512496948,0.007259896504138246,2.0121060848236083,0.016366733847917293,0.01908023357391353,-0.9573500294514281,0.019080233573913686,0.018616598287720026,0.005762721423111515,0.032397745724715855,0.010141883775914077,0.009765625,1,9,1.0249044040714723,candidate_worse,4.368837356567383,0.009085574095834957,4.378507995605469,0.02906103542444889,candidate_worse
pems_bay,SV-high,1.888113296031952,0.011125542600389005,1.8703925490379334,0.007639081772478905,-0.0177207469940186,0.9385425668714065,-0.017720746994018644,0.013949357901165423,-0.027699516502473785,-0.0077419774855635014,0.003030631833997113,0.009765625,9,1,-1.270362917029904,candidate_better,4.308083868026733,0.022963702396123293,4.267132520675659,0.018482907259878136,candidate_better
