dataset,reference_model,information_boundary,reference_mean_mae,reference_sample_sd,sraf_id_mean_mae,sraf_id_sample_sd,relative_sraf_reduction_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
metr_la,KNN+ID-MLP-controlled-oracle,controlled-oracle fault positions,6.515887204806009,0.07656079907094508,4.818479291598002,0.019785427794762563,26.050296143187186,-1.6974079132080078,0.07850244416852763,-1.7535651787795405,-1.641250647636475,1.5464168204111752e-13,0.001953125,10,0,-21.62235750983808
metr_la,PPCA-lite+ID-MLP-controlled-oracle,controlled-oracle fault positions,7.590405122439067,0.03758642651957559,4.818479291598002,0.019785427794762563,36.518812713258015,-2.7719258308410644,0.035528137219557214,-2.7973411291573482,-2.7465105325247805,1.502192735457319e-18,0.001953125,10,0,-78.02057883617944
metr_la,PyPOTS-SAITS+ID-MLP-controlled-oracle,controlled-oracle fault positions,7.900895285606383,0.09539802068603569,4.818479291598002,0.019785427794762563,39.01350268018152,-3.082415994008382,0.09731800014890651,-3.1520330974901563,-3.0127988905266077,5.0002879092496476e-15,0.001953125,10,0,-31.673647108366072
pems_bay,KNN+ID-MLP-controlled-oracle,controlled-oracle fault positions,2.587607576449712,0.015161727626598906,1.9501658022403716,0.008830003911789073,24.634406701032034,-0.6374417742093405,0.015761620243849413,-0.6487169581000651,-0.6261665903186158,5.550556497695316e-16,0.001953125,10,0,-40.44265528209807
pems_bay,PPCA-lite+ID-MLP-controlled-oracle,controlled-oracle fault positions,2.7726214150587722,0.013973830838973491,1.9501658022403716,0.008830003911789073,29.663466074071522,-0.8224556128184,0.016364175762575095,-0.8341618389606759,-0.8107493866761241,7.857292732971622e-17,0.001953125,10,0,-50.25951962086338
pems_bay,PyPOTS-SAITS+ID-MLP-controlled-oracle,controlled-oracle fault positions,3.27919597029686,0.1574954750406351,1.9501658022403716,0.008830003911789073,40.52914739146174,-1.3290301680564878,0.15823904347330392,-1.442227560599308,-1.2158327755136675,7.351127738386058e-10,0.001953125,10,0,-8.398876401706161
