dataset,variant,faulty_average_mean,faulty_average_sample_sd,difference_vs_full,relative_difference_vs_full,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz,seed_wins_vs_full
metr_la,sraf_id_forecast_only,4.818479291598002,0.019785427794762563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0
metr_la,temporal_only_forecast_only,4.940694228808086,0.015936797034317315,0.12221493721008425,2.5363798371654487,0.12221493721008292,0.02967604491926216,0.10098597353519308,0.14344390088497277,3.8239423357821166e-07,0.001953125,0,10,4.11830274359625,0
metr_la,spatial_only_forecast_only,5.300329653422038,0.06819317392920424,0.4818503618240362,10.000050486140726,0.48185036182403546,0.06198171825736255,0.43751131162470314,0.5261894120233678,1.4613977488069355e-09,0.001953125,0,10,7.774072345385463,0
metr_la,fixed_fusion_forecast_only,4.91239473025004,0.040418859958728064,0.09391543865203822,1.9490680143795343,0.09391543865203848,0.04370056853623812,0.0626539351547962,0.12517694214928077,7.941614583307237e-05,0.001953125,0,10,2.1490667466753974,0
metr_la,gated_fusion_forecast_only,4.815455587704976,0.01906380593329994,-0.00302370389302542,-0.06275224422563903,-0.0030237038930257753,0.023591466342938766,-0.01990002226342152,0.013852614477369971,0.694717084132153,0.76953125,5,5,-0.12816939180767833,5
pems_bay,sraf_id_forecast_only,1.9501658022403716,0.008830003911789073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0
pems_bay,temporal_only_forecast_only,1.9400677204132077,0.008703156888728298,-0.010098081827163874,-0.517806322701541,-0.01009808182716374,0.014938932605430293,-0.020784750434288634,0.0005885867799611533,0.0612633618861583,0.083984375,7,3,-0.6759573855693742,7
pems_bay,spatial_only_forecast_only,2.1354734500249224,0.0076240393420391765,0.18530764778455078,9.502148359471144,0.1853076477845509,0.010103415541989113,0.17808009970269764,0.19253519586640414,6.781060599135682e-13,0.001953125,0,10,18.341089408272364,0
pems_bay,fixed_fusion_forecast_only,2.00638788541158,0.010814832934774322,0.05622208317120858,2.88293862535278,0.05622208317120867,0.012932885608504635,0.04697045413703626,0.06547371220538109,2.40039588899742e-07,0.001953125,0,10,4.347218778014796,0
pems_bay,gated_fusion_forecast_only,1.9518433272838593,0.00838283461422023,0.0016775250434877265,0.08601961133563965,0.0016775250434875489,0.009348591077365803,-0.0050100541448018145,0.008365104231776912,0.5842873155725206,0.083984375,1,9,0.17944148263678608,1
