dataset,fault,horizon,reference_mean_mae,reference_sample_sd,candidate_mean_mae,candidate_sample_sd,relative_reduction_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
metr_la,clean,3,3.712928223609924,0.044376370533730586,3.6366549015045164,0.01900112403128028,2.054263306799138,-0.07627332210540767,0.047969039060039104,-0.11058830546978321,-0.04195833874103214,0.0007111166718000029,0.001953125,10,0,-1.5900531592876461
metr_la,clean,6,4.746694850921631,0.04381712731035793,4.672502422332764,0.020932251765362495,1.5630334563103685,-0.07419242858886718,0.052872599038950925,-0.11201520744799866,-0.036369649729735706,0.0016296031392644776,0.001953125,10,0,-1.403230216358573
metr_la,clean,12,6.096475458145141,0.051078965136705526,6.0019543170928955,0.023677854359771985,1.5504227270522613,-0.0945211410522461,0.06590005068993623,-0.14166319741710887,-0.04737908468738335,0.0014146210494500996,0.001953125,10,0,-1.4343105970733443
metr_la,RM20,3,4.193497657775879,0.14179635065424404,3.740557098388672,0.021663468630186793,10.801020922172993,-0.45294055938720723,0.15620602352197427,-0.5646836170678676,-0.34119750170654684,7.327872551543635e-06,0.001953125,10,0,-2.8996356809728905
metr_la,RM20,6,5.144804286956787,0.138233051303296,4.746732616424561,0.024347212633088665,7.737353032872902,-0.3980716705322266,0.15584686188274713,-0.5095577994539061,-0.28658554161054706,2.0497412361946737e-05,0.001953125,10,0,-2.554248867915734
metr_la,RM20,12,6.380074167251587,0.12383281554169631,6.044637966156006,0.025715274521309596,5.257559587901797,-0.335436201095581,0.14310792094503688,-0.43780944064271704,-0.2330629615484449,4.050792303854157e-05,0.001953125,10,0,-2.343938748326944
metr_la,RM40,3,4.680036973953247,0.21695291813946382,3.9104676961898805,0.023037787258219002,16.443658074635,-0.7695692777633667,0.2314876610997868,-0.935165574778096,-0.6039729807486374,2.3562696721726265e-06,0.001953125,10,0,-3.3244505305690155
metr_la,RM40,6,5.516613340377807,0.20513067005900087,4.872775459289551,0.024861659878834635,11.67089011614801,-0.6438378810882568,0.22126220041668382,-0.8021193241865968,-0.48555643798991677,7.11951143156446e-06,0.001953125,10,0,-2.9098412646885596
metr_la,RM40,12,6.636783599853516,0.18032579236677396,6.131340265274048,0.025863581648857038,7.615787481614192,-0.5054433345794678,0.19866368431922451,-0.6475587731228011,-0.36332789603613447,2.115327969975075e-05,0.001953125,10,0,-2.544216051924677
metr_la,CO24,3,4.528918266296387,0.04434054704392957,3.8888615369796753,0.016842011185422966,14.132662408150074,-0.6400567293167114,0.051122118412203224,-0.676627289770731,-0.6034861688626918,2.080713677318882e-11,0.001953125,10,0,-12.520152708772045
metr_la,CO24,6,5.425080442428589,0.04481450866210514,4.859272432327271,0.020046866815389093,10.429486089758868,-0.5658080101013184,0.057015635126742584,-0.6065945384375373,-0.5250214817650996,1.661999053047306e-10,0.001953125,10,0,-9.923734232611086
metr_la,CO24,12,6.6055584907531735,0.0499117481812248,6.127443456649781,0.022171078064769076,7.238071311800278,-0.47811503410339357,0.06598135487537189,-0.525315251978792,-0.4309148162279951,2.7269183964483047e-09,0.001953125,10,0,-7.246214252594169
metr_la,GN-high,3,4.015359902381897,0.055120809345792804,3.8856817722320556,0.019213266022956102,3.2295518534444985,-0.12967813014984136,0.06353402794647076,-0.1751276358054824,-0.08422862449420031,0.00011752646942144823,0.001953125,10,0,-2.0410815171217997
metr_la,GN-high,6,4.966598558425903,0.05616583086180659,4.847716665267944,0.023623714569227863,2.393627988239041,-0.11888189315795908,0.06730140859312535,-0.16702642057660472,-0.07073736573931344,0.00034037471913832696,0.001953125,10,0,-1.7664101783763042
metr_la,GN-high,12,6.270451927185059,0.062011747147917295,6.113234615325927,0.027502696129827673,2.507272421267247,-0.15721731185913077,0.07899903588755203,-0.2137298177463155,-0.10070480597194605,0.00014211056524110884,0.001953125,10,0,-1.9901168424753357
metr_la,LD-high,3,4.114143514633179,0.08893493907944795,4.007914733886719,0.015756320435357577,2.582038773529066,-0.10622878074646,0.08983890723665114,-0.1704956634630563,-0.04196189802986369,0.0046312666376515784,0.001953125,10,0,-1.1824362518862246
metr_la,LD-high,6,5.0537091255187985,0.0973024105580402,4.959046745300293,0.02020141833801137,1.8731268038460245,-0.09466238021850604,0.09586267624335384,-0.16323840769401918,-0.026086352742992897,0.012265473150485238,0.001953125,10,0,-0.987479005678907
metr_la,LD-high,12,6.257673120498657,0.09647323421675151,6.158074951171875,0.023377492148384034,1.591616682573626,-0.09959816932678231,0.10300883553593887,-0.17328625120341257,-0.02591008745015204,0.01362498176663653,0.009765625,9,1,-0.9668895761085795
metr_la,SV-high,3,3.9323142766952515,0.04767739834212462,3.8489347457885743,0.02417931416142791,2.1203679319535462,-0.0833795309066772,0.055688405063103415,-0.12321661605105996,-0.04354244576229444,0.0010667998438720983,0.001953125,10,0,-1.497251192814654
metr_la,SV-high,6,4.905088758468628,0.05247701139721804,4.823839998245239,0.027213097215638648,1.6564177372552704,-0.08124876022338859,0.06096266003297114,-0.12485882008431631,-0.03763870036246086,0.0022575111959791906,0.001953125,10,0,-1.3327627137570093
metr_la,SV-high,12,6.206762456893921,0.05899721926868974,6.105301761627198,0.03175202516913192,1.6346798507494047,-0.10146069526672355,0.0746747256725845,-0.15487977597807176,-0.048041614555375346,0.0020006245176129355,0.001953125,10,0,-1.3587019483885836
pems_bay,clean,3,1.48471337556839,0.010092051691997408,1.4652532696723939,0.004642470281378961,1.3106978233119326,-0.01946010589599605,0.01106976807623635,-0.027378940936825323,-0.011541270855166779,0.00035226856897905125,0.00390625,9,1,-1.7579506419625335
pems_bay,clean,6,1.8544523000717164,0.01057601926086435,1.8404390215873718,0.008012512602360205,0.7556559143528576,-0.014013278484344438,0.014561451464716333,-0.02442991335058592,-0.0035966436181029595,0.013944770983855605,0.02734375,9,1,-0.9623545096654571
pems_bay,clean,12,2.3279083013534545,0.010880820351508816,2.3120325803756714,0.008611441070576722,0.6819736399648092,-0.015875720977783336,0.015325646286710527,-0.026839027887445382,-0.0049124140681212885,0.009593722783478524,0.013671875,8,2,-1.03589243029508
pems_bay,RM20,3,1.6009351134300231,0.012968033819574643,1.5298035621643067,0.00527272912510944,4.443125187835767,-0.0711315512657166,0.013909507666458794,-0.08108181363356981,-0.0611812888978634,5.8612139961933e-08,0.001953125,10,0,-5.113879870618447
pems_bay,RM20,6,1.9464004516601563,0.010441892867141565,1.8818953156471252,0.00843373726582135,3.314073214379513,-0.06450513601303107,0.014820631718776383,-0.07510717726390563,-0.0539030947621565,2.375910001431358e-07,0.001953125,10,0,-4.352387754923359
pems_bay,RM20,12,2.4076610803604126,0.0073855948447565,2.3389134407043457,0.008989068113779038,2.855370310084332,-0.06874763965606703,0.014605568299612596,-0.07919583380482112,-0.05829944550731295,1.2062922419814608e-07,0.001953125,10,0,-4.706947257772265
pems_bay,RM40,3,1.7361329913139343,0.017320514691144397,1.6273009538650514,0.006017652768873844,6.268646353325562,-0.10883203744888306,0.018987373847281323,-0.12241478645678254,-0.09524928844098358,2.1588354151953007e-08,0.001953125,10,0,-5.73181095628272
pems_bay,RM40,6,2.055053544044495,0.011928648558424449,1.9492597460746766,0.008910876144638945,5.147982556289428,-0.1057937979698181,0.01686504002668834,-0.11785832082238128,-0.09372927511725491,9.759591288943465e-09,0.001953125,10,0,-6.272964535062062
pems_bay,RM40,12,2.5005668878555296,0.007571849040686287,2.3850584506988524,0.009339318993426937,4.619290038497493,-0.11550843715667725,0.01550330034303711,-0.12659883012240622,-0.10441804419094827,2.1310209621469e-09,0.001953125,10,0,-7.450570820461126
pems_bay,CO24,3,1.6934415459632874,0.022026055451780827,1.6566279530525208,0.007369494813997447,2.173892154619713,-0.03681359291076658,0.024463979928532404,-0.05431406990016996,-0.019313115921363196,0.0010316603710718022,0.00390625,9,1,-1.5048080082763144
pems_bay,CO24,6,2.0028170704841615,0.01850362875538179,1.9748836636543274,0.009762270670123582,1.3947058491508364,-0.02793340682983394,0.023698716383012717,-0.044886447257062215,-0.010980366402605662,0.004716806853264041,0.01953125,9,1,-1.1786885997697603
pems_bay,CO24,12,2.417485475540161,0.011953776038810917,2.389394760131836,0.008683687842023165,1.1619807313236754,-0.028090715408325327,0.017089282111496705,-0.04031565138486544,-0.015865779431785215,0.0005655414575693237,0.00390625,9,1,-1.643762167717243
pems_bay,GN-high,3,1.8583396553993226,0.005547810094330615,1.8166349053382873,0.008836385549836361,2.2441941622385317,-0.041704750061035245,0.010381583099163092,-0.049131287225929896,-0.034278212896140595,4.732787922081415e-07,0.001953125,10,0,-4.017185978542835
pems_bay,GN-high,6,2.1265282154083254,0.006431846359483845,2.0961976528167723,0.010565060352012668,1.4262948580594859,-0.03033056259155269,0.012392929278449595,-0.03919593013609765,-0.021465195047007727,2.8811180329419975e-05,0.001953125,10,0,-2.4474086723221555
pems_bay,GN-high,12,2.510102367401123,0.007556717510471407,2.4818220376968383,0.009124712016472107,1.126660413199218,-0.02828032970428449,0.012768628027393697,-0.03741445594345116,-0.019146203465117827,6.297540342989373e-05,0.001953125,10,0,-2.2148291612546105
pems_bay,LD-high,3,1.7173423290252685,0.007519714885511276,1.740641713142395,0.013888545668758788,-1.3567116889473518,0.02329938411712651,0.015792657892444575,0.01200199723013416,0.034596771004118856,0.0011762055154678065,0.001953125,0,10,1.4753301360547584
pems_bay,LD-high,6,2.0101731061935424,0.006257302072481381,2.0296074628829954,0.01609890241717355,-0.966800154154578,0.019434356689453126,0.017043947413145803,0.007241851202458431,0.03162686217644782,0.005696634383959028,0.005859375,1,9,1.140249744872108
pems_bay,LD-high,12,2.3995765686035155,0.010216289336264844,2.405563306808472,0.02015869217890543,-0.24949144291904926,0.005986738204956143,0.023208520765518728,-0.010615637402021254,0.022589113811933542,0.43571450487727986,0.6953125,5,5,0.257954320546389
