dataset,model,batch_size,timing_boundary,mean_latency_ms,sample_sd_latency_ms,median_latency_ms,p95_latency_ms,throughput_samples_per_sec,parameter_count,peak_gpu_memory_bytes,baseline_mean_latency_ms,sraf_to_id_mlp_ca_latency_ratio,inference_structure_note
metr_la,id_mlp_ca,1,end_to_end_batch,1.000647700000011,0.0937725434474996,0.9678500000001032,1.187530000000647,999.3527192437352,117868,2005504,1.000647700000011,1.0,forecast-only removes a training loss only; forward architecture unchanged
metr_la,id_mlp_ca,1,forward_only,0.9194141000000116,0.0853056400445605,0.8950500000002304,1.0881200000004476,1087.649188760524,117868,2005504,0.9194141000000116,1.0,forecast-only removes a training loss only; forward architecture unchanged
metr_la,id_mlp_ca,64,end_to_end_batch,2.043442800000044,0.1426613236354741,2.013949999998488,2.2938100000027712,31319.69243278972,117868,49954816,2.043442800000044,1.0,forecast-only removes a training loss only; forward architecture unchanged
metr_la,id_mlp_ca,64,forward_only,1.224668199999989,0.1189496235458084,1.171950000001587,1.4634449999975985,52259.05269688603,117868,49954816,1.224668199999989,1.0,forecast-only removes a training loss only; forward architecture unchanged
metr_la,sraf_id_forecast_only,1,end_to_end_batch,4.395233200000044,0.2915892808840276,4.318550000000698,4.970974999999767,227.5192133150045,118078,14285312,1.000647700000011,4.392388250130388,forecast-only removes a training loss only; forward architecture unchanged
metr_la,sraf_id_forecast_only,1,forward_only,4.182872500000014,0.2685569495450052,4.107750000000188,4.741515000000974,239.0701605176817,118078,14285312,0.9194141000000116,4.549497881313721,forecast-only removes a training loss only; forward architecture unchanged
metr_la,sraf_id_forecast_only,64,end_to_end_batch,7.428347399999986,0.4452478066229041,7.28834999999961,8.412099999997658,8615.644443338788,118078,281921024,2.043442800000044,3.635211810186136,forecast-only removes a training loss only; forward architecture unchanged
metr_la,sraf_id_forecast_only,64,forward_only,6.469678699999975,0.4692154716279227,6.364149999999569,7.603724999999527,9892.299597505553,118078,281921024,1.224668199999989,5.28280125180031,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,id_mlp_ca,1,end_to_end_batch,1.1754278999999386,0.2048612558433009,1.0931500000026515,1.6171350000039553,850.7540105182566,121644,11311616,1.1754278999999386,1.0,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,id_mlp_ca,1,forward_only,1.0881592000002205,0.22016380023584,1.0011000000034187,1.5965550000036186,918.9831781965338,121644,11311616,1.0881592000002205,1.0,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,id_mlp_ca,64,end_to_end_batch,2.783843700000048,0.1944685018671846,2.718699999999074,3.133029999998272,22989.79644582736,121644,73047552,2.783843700000048,1.0,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,id_mlp_ca,64,forward_only,1.5688650999999751,0.1561816596877396,1.5095499999979722,1.909129999997816,40793.819685326045,121644,73047552,1.5688650999999751,1.0,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,sraf_id_forecast_only,1,end_to_end_batch,4.9317638999999005,0.390131855365849,4.93839999999679,5.443439999995191,202.76720870600076,121854,21048832,1.1754278999999386,4.195717916854074,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,sraf_id_forecast_only,1,forward_only,4.875150600000041,0.5077115255466152,4.869600000002805,5.332579999997122,205.12186844032917,121854,21048832,1.0881592000002205,4.480181392574776,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,sraf_id_forecast_only,64,end_to_end_batch,12.930376199999856,0.5093829062491735,12.814750000003984,13.844399999999268,4949.585302862318,121854,672816640,2.783843700000048,4.644792450093241,forecast-only removes a training loss only; forward architecture unchanged
pems_bay,sraf_id_forecast_only,64,forward_only,11.706613399999618,0.5415703279728136,11.534900000000905,12.650884999990096,5466.995262695024,121854,672816640,1.5688650999999751,7.4618355650844705,forecast-only removes a training loss only; forward architecture unchanged
