dataset,input_setting,reference_mean_mae,reference_sample_sd,candidate_mean_mae,candidate_sample_sd,absolute_mae_difference,relative_mae_reduction_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz,clean_or_faulty
metr_la,clean,4.712345838546753,0.04541262532000024,4.631499624252319,0.020408208653105147,-0.08084621429443395,1.715625657886057,-0.08084621429443359,0.05472110953656477,-0.1199913379037924,-0.04170109068507478,0.0011652589128580523,0.001953125,10,0,-1.4774227894705236,clean
metr_la,faulty_average,5.14145491917928,0.08944572240384303,4.818479291598002,0.019785427794762563,-0.32297562758127807,6.281794407580531,-0.3229756275812784,0.10372090650154187,-0.397173094340694,-0.24877816082186283,4.067653333844929e-06,0.001953125,10,0,-3.113891292267844,faulty
pems_bay,clean,1.8246730804443358,0.010300025029877874,1.8081544876098632,0.00685752220879596,-0.016518592834472656,0.9052905428105579,-0.01651859283447261,0.013739604139433967,-0.02634731354091983,-0.006689872128025392,0.0042051844521263666,0.009765625,9,1,-1.2022611908492096,clean
pems_bay,faulty_average,1.9909850517908734,0.01008753651406398,1.9501658022403716,0.008830003911789073,-0.04081924955050176,2.0502037176916623,-0.040819249550501535,0.01548683293012345,-0.05189786243867925,-0.02974063666232382,1.5926869928408175e-05,0.001953125,10,0,-2.6357390006515784,faulty
