dataset,variant,fault,mae_mean,mae_sample_sd,difference_vs_full,relative_difference_vs_full_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
metr_la,sraf_id_forecast_only,RM20,4.7090582847595215,0.023671578757057887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,sraf_id_forecast_only,RM40,4.841397380828857,0.02505833603809901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,sraf_id_forecast_only,CO24,4.827802038192749,0.019337467399855958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,sraf_id_forecast_only,GN-high,4.821774482727051,0.023131177363360865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,sraf_id_forecast_only,LD-high,4.920248889923096,0.0178252079883553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,sraf_id_forecast_only,SV-high,4.790594673156738,0.02592665260799143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
metr_la,temporal_only_forecast_only,RM20,4.732907915115357,0.01894675208087471,0.023849630355835316,0.5064628406282988,0.023849630355834962,0.031188149482190418,0.0015389722393046382,0.046160288472365286,0.03872483626734207,0.064453125,3,7,0.7647016816260285
metr_la,temporal_only_forecast_only,RM40,4.862649774551391,0.015382659588540099,0.02125239372253418,0.4389723059439448,0.02125239372253418,0.031192788236547513,-0.0010615827589605976,0.043566370204028954,0.059595177994754,0.064453125,3,7,0.6813239509520179
metr_la,temporal_only_forecast_only,CO24,5.356699228286743,0.021144432905508832,0.5288971900939945,10.95523772329288,0.5288971900939943,0.03149534149948848,0.5063667800464308,0.5514276001415578,1.496528916441957e-12,0.001953125,0,10,16.792870466338144
metr_la,temporal_only_forecast_only,GN-high,4.915837097167969,0.02397842606239535,0.09406261444091779,1.950788341053205,0.09406261444091797,0.04181341443553724,0.06415109966224293,0.12397412921959301,5.5821880685908456e-05,0.001953125,0,10,2.2495798468200223
metr_la,temporal_only_forecast_only,LD-high,4.951679849624634,0.016868101425600045,0.031430959701538086,0.6388083286987817,0.031430959701538176,0.028357845087423228,0.011144979379803684,0.051716940023272664,0.006671158514407905,0.01953125,2,8,1.1083691163641303
